amfi_code,scheme_name,cagr_3yr,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,rank_return,rank_sharpe,rank_alpha,rank_expense,rank_mdd,score
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.18429918008610047,0.7757902498211205,0.17729754927531766,-0.15200013055606398,0.92,0.55,0.575,0.625,0.675,0.575,59.24999999999999
118635,Nippon India ETF Nifty 50 BeES,0.2000321571698329,0.664856998549062,0.1513635464823924,-0.1165062450540909,0.89,0.6,0.55,0.45,0.7,0.775,59.00000000000001
118633,Nippon India Large Cap Fund - Direct - Growth,0.21084691029380598,0.6452074382933215,0.15643835948169668,-0.18629743138595511,0.72,0.65,0.5,0.475,0.8875,0.375,58.56249999999999
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.19662361245910964,0.8170993373494367,0.17048756803412696,-0.1085986215250232,1.57,0.575,0.625,0.55,0.175,0.85,54.99999999999999
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.13974980348212673,0.7979728586052847,0.17703302365844073,-0.13897862823061635,1.42,0.4,0.6,0.6,0.525,0.675,53.625
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.14744434832760533,0.9262873467360144,0.20873010086942337,-0.1527259422823477,1.52,0.425,0.65,0.675,0.3625,0.55,53.43750000000001
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.18417429266835228,0.6488787755249532,0.1625385327998104,-0.1982565826298267,1.41,0.525,0.525,0.525,0.55,0.35,51.12500000000001
120507,ICICI Pru Liquid Fund - Regular - Growth,0.07392538786263403,0.4957233929533123,0.06746210411099539,-0.0009773140045925555,0.74,0.3,0.45,0.25,0.85,1.0,48.0
119093,Axis Bluechip Fund - Direct - Growth,0.20811559826631898,0.12961449795669328,0.08232801295222093,-0.21751396370148224,0.75,0.625,0.3,0.325,0.825,0.25,47.625
102887,UTI Flexi Cap Fund - Regular - Growth,0.25549670172502026,0.6195175900829828,0.16211256794033255,-0.21539827112383225,1.64,0.7,0.475,0.5,0.0375,0.275,46.1875
149322,DSP Top 100 Equity Fund - Regular - Growth,0.1803973982038829,0.46403744922047774,0.13173190226099432,-0.14844576917771746,1.54,0.5,0.4,0.425,0.2625,0.625,43.6875
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.11242518737374207,0.30061192104254786,0.11989100971217971,-0.21117279560132118,0.78,0.375,0.35,0.375,0.775,0.3,42.125
120844,Kotak Liquid Fund - Regular - Growth,0.06694394239074852,-0.08874729621557288,0.06455677495375998,-0.0011629327956168556,0.6,0.275,0.175,0.225,0.95,0.975,41.125
120841,Kotak Bluechip Fund - Regular - Growth,0.1726301444443794,0.4942725378672349,0.13042924450705445,-0.1757361416468729,1.59,0.475,0.425,0.4,0.15,0.425,39.375
118634,Nippon India Small Cap Fund - Regular - Growth,0.080060298597036,0.44843400890899127,0.1750072167561127,-0.2334488614483311,1.53,0.35,0.375,0.575,0.3125,0.225,38.3125
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.04061259859840338,-0.35662950751436784,0.05074772999976104,-0.08316361763638702,0.55,0.2,0.075,0.15,1.0,0.875,34.625
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.05838988442093762,-0.22657538662791576,0.05620895216638369,-0.04328728923970093,0.77,0.225,0.1,0.175,0.8,0.9,33.75
101208,ABSL Liquid Fund - Regular - Growth,0.06314299292105274,-0.8155673679088263,0.060861457957871144,-0.0016224980244717857,0.79,0.25,0.025,0.2,0.75,0.95,32.875
100025,HDFC Short Term Debt Fund - Regular - Growth,0.03915479354684703,-0.5670947928476846,0.042817920315060876,-0.04308263824636349,0.56,0.175,0.05,0.075,0.975,0.925,31.875000000000004
120842,Kotak Emerging Equity Fund - Regular - Growth,0.0775416750547262,0.07599984804658923,0.0780443887615508,-0.24003511326274884,1.56,0.325,0.275,0.3,0.2,0.2,27.625
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.01337083602283895,-0.05718662582817995,0.048824215945539845,-0.5257422117012851,0.72,0.075,0.225,0.125,0.8875,0.025,23.9375
119092,Axis Bluechip Fund - Regular - Growth,0.005257668501786883,0.03078485095458594,0.0689952982167755,-0.1440161790933726,1.64,0.125,0.25,0.275,0.0375,0.65,22.562500000000004
101207,ABSL Small Cap Fund - Regular - Growth,-0.04151453816140693,0.16266076928646772,0.10897091901704538,-0.3544691649336603,1.53,0.05,0.325,0.35,0.3125,0.075,22.0625
119095,Axis Small Cap Fund - Regular - Growth,-0.11703299329834216,-0.0759735711747892,0.04801595363775955,-0.5167775370852656,1.38,0.025,0.2,0.1,0.6,0.05,17.25
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.012923525892154508,-0.20151706755966936,0.03747580763443281,-0.24734440880673303,1.55,0.15,0.15,0.05,0.225,0.175,14.374999999999998
102886,UTI Mid Cap Fund - Regular - Growth,-0.007672319440258146,-0.20583160785470309,0.02896939786637944,-0.2800112356639287,1.51,0.1,0.125,0.025,0.4125,0.15,14.3125
